incident_type,urgency,location_desc,details,hazards,people,hour,is_weekend,police,ambulance,bomba
Crime,4,"Street 148, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,10,1,4,2,2
Accident,5,"Street 187, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,22,0,3,4,3
Medical,4,"Street 284, near the Residential Area",Unconscious person,None,1 person involved,13,0,1,4,2
Fire,3,"Street 105, near the Forest",Spreading to trees,Thick smoke,6 people evacuated,14,1,1,1,5
Crime,5,"Street 180, near the City Center",Break-in,Aggressive behavior,Suspect and 2 witnesses,13,0,5,2,3
Crime,3,"Street 33, near the Industrial Zone",Break-in,None,Suspect and 2 witnesses,6,0,4,1,1
Other,2,"Street 413, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,0,0,1,1
Crime,2,"Street 249, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,5,0,3,1,1
Crime,4,"Street 136, near the Industrial Zone",Armed robbery in progress,None,Suspect and 1 witnesses,5,0,4,2,2
Medical,5,"Street 489, near the Residential Area",Allergic reaction,None,1 person involved,2,1,2,4,3
Medical,1,"Street 232, near the Highway",Cardiac arrest,None,1 person involved,17,0,0,2,0
Other,3,"Street 94, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,11,1,1,1,1
Other,4,"Street 206, near the Highway",General emergency reported,Unknown,Multiple bystanders,6,1,1,2,2
Medical,4,"Street 298, near the Residential Area",Cardiac arrest,None,1 person involved,10,0,1,4,2
Accident,2,"Street 313, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,0,1,2,1
Fire,5,"Street 469, near the Residential Area",Building engulfed,Chemical smell,2 people evacuated,8,0,2,2,7
Accident,3,"Street 229, near the Forest",General emergency reported,Unknown,Multiple bystanders,7,0,2,3,1
Other,2,"Street 453, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,0,1,1
Fire,1,"Street 373, near the Residential Area",Building engulfed,Chemical smell,2 people evacuated,15,1,0,0,4
Medical,3,"Street 127, near the Residential Area",Cardiac arrest,None,1 person involved,15,0,1,3,1
Fire,3,"Street 303, near the Highway",Spreading to trees,Chemical smell,1 people evacuated,1,1,1,1,5
Accident,5,"Street 258, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,3,4,3
Fire,5,"Street 311, near the Forest",Spreading to trees,Chemical smell,3 people evacuated,13,0,2,2,7
Fire,2,"Street 474, near the Residential Area",Spreading to trees,Explosion risk,1 people evacuated,20,1,0,1,5
Accident,5,"Street 418, near the Highway",General emergency reported,Unknown,Multiple bystanders,13,1,3,4,3
Crime,1,"Street 142, near the Highway",Break-in,None,Suspect and 2 witnesses,19,0,3,0,0
Medical,3,"Street 450, near the Highway",Cardiac arrest,None,1 person involved,2,1,1,3,1
Crime,3,"Street 395, near the Industrial Zone",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,4,1,4,1,1
Other,1,"Street 371, near the City Center",General emergency reported,Unknown,Multiple bystanders,0,0,0,0,0
Accident,2,"Street 328, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,8,0,1,2,1
Accident,5,"Street 364, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,0,3,4,3
Other,1,"Street 458, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,0,0,0,0
Crime,2,"Street 480, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,2,1,3,1,1
Medical,5,"Street 464, near the Forest",Allergic reaction,None,1 person involved,16,0,2,4,3
Other,4,"Street 279, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,4,1,1,2,2
Fire,1,"Street 327, near the Residential Area",Small kitchen fire,Explosion risk,3 people evacuated,7,1,0,0,4
Medical,2,"Street 173, near the Forest",Unconscious person,None,1 person involved,16,1,0,3,1
Crime,4,"Street 6, near the Forest",Break-in,Aggressive behavior,Suspect and 2 witnesses,6,0,4,2,2
Accident,2,"Street 479, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,3,1,1,2,1
Fire,5,"Street 352, near the Highway",Spreading to trees,Explosion risk,5 people evacuated,0,0,2,2,7
Crime,3,"Street 250, near the Residential Area",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,0,0,4,1,1
Fire,3,"Street 307, near the Highway",Spreading to trees,Explosion risk,8 people evacuated,13,0,1,1,5
Fire,5,"Street 207, near the Forest",Spreading to trees,Thick smoke,3 people evacuated,22,1,2,2,7
Medical,2,"Street 198, near the Forest",Allergic reaction,None,1 person involved,20,0,0,3,1
Fire,5,"Street 347, near the City Center",Spreading to trees,Thick smoke,2 people evacuated,16,0,2,2,7
Fire,3,"Street 238, near the City Center",Spreading to trees,Explosion risk,1 people evacuated,10,0,1,1,5
Fire,3,"Street 15, near the Highway",Building engulfed,Chemical smell,7 people evacuated,21,0,1,1,5
Accident,3,"Street 316, near the Highway",General emergency reported,Unknown,Multiple bystanders,19,0,2,3,1
Accident,3,"Street 109, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,1,2,3,1
Fire,2,"Street 177, near the Highway",Small kitchen fire,Thick smoke,7 people evacuated,0,0,0,1,5
Fire,2,"Street 250, near the Highway",Spreading to trees,Explosion risk,1 people evacuated,9,0,0,1,5
Crime,3,"Street 189, near the City Center",Armed robbery in progress,None,Suspect and 1 witnesses,20,0,4,1,1
Crime,4,"Street 24, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 2 witnesses,14,1,4,2,2
Fire,1,"Street 245, near the Industrial Zone",Spreading to trees,Thick smoke,5 people evacuated,4,1,0,0,4
Medical,1,"Street 133, near the Highway",Unconscious person,None,1 person involved,10,1,0,2,0
Accident,4,"Street 350, near the City Center",General emergency reported,Unknown,Multiple bystanders,3,1,2,3,2
Crime,3,"Street 356, near the Highway",Armed robbery in progress,None,Suspect and 1 witnesses,12,1,4,1,1
Crime,4,"Street 287, near the City Center",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,23,1,4,2,2
Medical,2,"Street 234, near the City Center",Cardiac arrest,None,1 person involved,7,0,0,3,1
Medical,1,"Street 481, near the Residential Area",Allergic reaction,None,1 person involved,7,1,0,2,0
Crime,2,"Street 369, near the Forest",Armed robbery in progress,None,Suspect and 1 witnesses,1,0,3,1,1
Other,3,"Street 128, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,1,1,1
Accident,5,"Street 334, near the Highway",General emergency reported,Unknown,Multiple bystanders,19,0,3,4,3
Crime,5,"Street 465, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,0,0,5,2,3
Other,5,"Street 459, near the Highway",General emergency reported,Unknown,Multiple bystanders,10,1,2,2,3
Accident,1,"Street 363, near the Forest",General emergency reported,Unknown,Multiple bystanders,13,0,1,2,0
Accident,5,"Street 176, near the City Center",General emergency reported,Unknown,Multiple bystanders,23,0,3,4,3
Fire,5,"Street 251, near the Highway",Spreading to trees,Chemical smell,2 people evacuated,19,0,2,2,7
Fire,3,"Street 225, near the Industrial Zone",Small kitchen fire,Thick smoke,2 people evacuated,15,1,1,1,5
Other,4,"Street 25, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,7,1,1,2,2
Accident,5,"Street 61, near the Highway",General emergency reported,Unknown,Multiple bystanders,8,0,3,4,3
Fire,2,"Street 36, near the Highway",Spreading to trees,Chemical smell,6 people evacuated,20,0,0,1,5
Accident,4,"Street 326, near the Highway",General emergency reported,Unknown,Multiple bystanders,22,0,2,3,2
Other,3,"Street 449, near the City Center",General emergency reported,Unknown,Multiple bystanders,5,0,1,1,1
Fire,1,"Street 187, near the Forest",Small kitchen fire,Thick smoke,5 people evacuated,21,1,0,0,4
Accident,5,"Street 341, near the City Center",General emergency reported,Unknown,Multiple bystanders,18,1,3,4,3
Accident,2,"Street 303, near the City Center",General emergency reported,Unknown,Multiple bystanders,21,0,1,2,1
Fire,1,"Street 16, near the Forest",Spreading to trees,Thick smoke,8 people evacuated,19,0,0,0,4
Crime,2,"Street 423, near the Forest",Public disturbance,Weapons sighted,Suspect and 2 witnesses,16,0,3,1,1
Crime,1,"Street 214, near the Residential Area",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,9,1,3,0,0
Crime,2,"Street 455, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,21,1,3,1,1
Other,5,"Street 256, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,1,2,2,3
Other,4,"Street 451, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,1,2,2
Other,4,"Street 255, near the Highway",General emergency reported,Unknown,Multiple bystanders,7,0,1,2,2
Fire,2,"Street 340, near the Forest",Building engulfed,Explosion risk,6 people evacuated,15,0,0,1,5
Crime,3,"Street 355, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 1 witnesses,22,1,4,1,1
Medical,5,"Street 92, near the Industrial Zone",Unconscious person,None,1 person involved,6,0,2,4,3
Other,2,"Street 64, near the Forest",General emergency reported,Unknown,Multiple bystanders,22,1,0,1,1
Accident,5,"Street 227, near the City Center",General emergency reported,Unknown,Multiple bystanders,9,1,3,4,3
Medical,3,"Street 414, near the Forest",Allergic reaction,None,1 person involved,15,0,1,3,1
Fire,5,"Street 370, near the Forest",Building engulfed,Thick smoke,2 people evacuated,6,1,2,2,7
Fire,4,"Street 430, near the Highway",Small kitchen fire,Thick smoke,4 people evacuated,17,0,1,2,6
Crime,4,"Street 203, near the Industrial Zone",Break-in,Weapons sighted,Suspect and 1 witnesses,20,0,4,2,2
Other,3,"Street 447, near the Forest",General emergency reported,Unknown,Multiple bystanders,6,1,1,1,1
Crime,5,"Street 97, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,18,1,5,2,3
Accident,2,"Street 132, near the City Center",General emergency reported,Unknown,Multiple bystanders,15,0,1,2,1
Accident,2,"Street 94, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,1
Medical,4,"Street 62, near the City Center",Allergic reaction,None,1 person involved,8,0,1,4,2
Fire,5,"Street 83, near the Highway",Small kitchen fire,Explosion risk,6 people evacuated,22,0,2,2,7
Fire,3,"Street 64, near the Industrial Zone",Spreading to trees,Thick smoke,4 people evacuated,22,0,1,1,5
Accident,2,"Street 124, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,22,0,1,2,1
Fire,5,"Street 249, near the City Center",Spreading to trees,Explosion risk,1 people evacuated,17,1,2,2,7
Accident,4,"Street 435, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,16,0,2,3,2
Crime,2,"Street 463, near the City Center",Public disturbance,Weapons sighted,Suspect and 2 witnesses,21,0,3,1,1
Fire,5,"Street 400, near the Residential Area",Spreading to trees,Thick smoke,9 people evacuated,19,0,2,2,7
Fire,5,"Street 176, near the City Center",Building engulfed,Thick smoke,7 people evacuated,22,1,2,2,7
Crime,4,"Street 94, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,6,1,4,2,2
Accident,3,"Street 113, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,19,1,2,3,1
Crime,3,"Street 365, near the Industrial Zone",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,23,1,4,1,1
Medical,2,"Street 416, near the Highway",Unconscious person,None,1 person involved,21,0,0,3,1
Other,1,"Street 355, near the City Center",General emergency reported,Unknown,Multiple bystanders,10,1,0,0,0
Other,4,"Street 297, near the Highway",General emergency reported,Unknown,Multiple bystanders,8,1,1,2,2
Fire,4,"Street 100, near the Industrial Zone",Small kitchen fire,Chemical smell,9 people evacuated,5,0,1,2,6
Medical,1,"Street 294, near the Industrial Zone",Cardiac arrest,None,1 person involved,21,0,0,2,0
Crime,3,"Street 439, near the City Center",Public disturbance,None,Suspect and 2 witnesses,5,1,4,1,1
Accident,1,"Street 173, near the City Center",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,0
Accident,1,"Street 371, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,6,0,1,2,0
Medical,5,"Street 283, near the Industrial Zone",Allergic reaction,None,1 person involved,7,0,2,4,3
Medical,2,"Street 101, near the Industrial Zone",Cardiac arrest,None,1 person involved,5,1,0,3,1
Fire,3,"Street 461, near the City Center",Spreading to trees,Thick smoke,8 people evacuated,1,0,1,1,5
Fire,2,"Street 234, near the Residential Area",Small kitchen fire,Chemical smell,6 people evacuated,7,0,0,1,5
Crime,5,"Street 385, near the City Center",Public disturbance,None,Suspect and 2 witnesses,18,0,5,2,3
Other,1,"Street 180, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,0,0,0,0
Medical,3,"Street 5, near the City Center",Allergic reaction,None,1 person involved,19,0,1,3,1
Other,2,"Street 214, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,23,1,0,1,1
Accident,1,"Street 151, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,18,0,1,2,0
Fire,2,"Street 284, near the Industrial Zone",Small kitchen fire,Explosion risk,9 people evacuated,5,1,0,1,5
Accident,3,"Street 125, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,2,3,1
Other,1,"Street 20, near the Forest",General emergency reported,Unknown,Multiple bystanders,9,1,0,0,0
Accident,2,"Street 60, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,7,1,1,2,1
Medical,1,"Street 280, near the Highway",Cardiac arrest,None,1 person involved,12,0,0,2,0
Medical,1,"Street 329, near the Forest",Allergic reaction,None,1 person involved,21,1,0,2,0
Fire,5,"Street 481, near the Residential Area",Building engulfed,Chemical smell,1 people evacuated,23,1,2,2,7
Medical,1,"Street 30, near the Forest",Cardiac arrest,None,1 person involved,2,0,0,2,0
Fire,3,"Street 164, near the City Center",Small kitchen fire,Chemical smell,1 people evacuated,23,0,1,1,5
Other,1,"Street 360, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,11,0,0,0,0
Crime,1,"Street 419, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,2,1,3,0,0
Fire,1,"Street 375, near the City Center",Small kitchen fire,Thick smoke,1 people evacuated,21,0,0,0,4
Other,3,"Street 36, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,17,1,1,1,1
Crime,3,"Street 17, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,13,1,4,1,1
Crime,4,"Street 437, near the Forest",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,9,1,4,2,2
Fire,4,"Street 485, near the Industrial Zone",Building engulfed,Thick smoke,4 people evacuated,8,1,1,2,6
Accident,2,"Street 129, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,1
Fire,4,"Street 87, near the Industrial Zone",Spreading to trees,Chemical smell,9 people evacuated,21,0,1,2,6
Crime,3,"Street 67, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 2 witnesses,20,1,4,1,1
Medical,5,"Street 393, near the City Center",Unconscious person,None,1 person involved,19,0,2,4,3
Fire,3,"Street 454, near the Highway",Small kitchen fire,Thick smoke,7 people evacuated,17,1,1,1,5
Fire,5,"Street 495, near the Forest",Spreading to trees,Thick smoke,6 people evacuated,2,1,2,2,7
Accident,3,"Street 210, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,1,2,3,1
Accident,3,"Street 472, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,2,3,1
Fire,4,"Street 94, near the City Center",Building engulfed,Chemical smell,9 people evacuated,21,0,1,2,6
Crime,2,"Street 425, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 1 witnesses,17,0,3,1,1
Accident,2,"Street 39, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,5,1,1,2,1
Accident,2,"Street 463, near the Forest",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,1
Other,5,"Street 3, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,1,2,2,3
Other,5,"Street 79, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,0,0,2,2,3
Accident,1,"Street 70, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,1,1,2,0
Crime,4,"Street 482, near the Industrial Zone",Armed robbery in progress,None,Suspect and 2 witnesses,4,1,4,2,2
Medical,4,"Street 477, near the Highway",Cardiac arrest,None,1 person involved,17,1,1,4,2
Accident,5,"Street 403, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,12,1,3,4,3
Accident,1,"Street 427, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,1,2,0
Crime,5,"Street 139, near the Highway",Public disturbance,Aggressive behavior,Suspect and 2 witnesses,21,1,5,2,3
Other,4,"Street 448, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,16,1,1,2,2
Crime,5,"Street 418, near the Residential Area",Public disturbance,Weapons sighted,Suspect and 1 witnesses,14,0,5,2,3
Other,3,"Street 256, near the Highway",General emergency reported,Unknown,Multiple bystanders,15,0,1,1,1
Medical,1,"Street 22, near the Highway",Unconscious person,None,1 person involved,8,0,0,2,0
Other,2,"Street 205, near the City Center",General emergency reported,Unknown,Multiple bystanders,5,0,0,1,1
Crime,2,"Street 328, near the Highway",Armed robbery in progress,Weapons sighted,Suspect and 1 witnesses,3,0,3,1,1
Accident,2,"Street 244, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,1,2,1
Crime,1,"Street 135, near the Forest",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,7,1,3,0,0
Other,3,"Street 383, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,1,1,1
Other,1,"Street 69, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,0,0,0,0
Accident,2,"Street 365, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,16,1,1,2,1
Accident,1,"Street 127, near the Highway",General emergency reported,Unknown,Multiple bystanders,0,1,1,2,0
Crime,5,"Street 375, near the Highway",Public disturbance,None,Suspect and 2 witnesses,16,1,5,2,3
Fire,1,"Street 312, near the Residential Area",Spreading to trees,Chemical smell,2 people evacuated,8,0,0,0,4
Medical,3,"Street 77, near the Residential Area",Cardiac arrest,None,1 person involved,10,1,1,3,1
Crime,5,"Street 27, near the Industrial Zone",Public disturbance,Weapons sighted,Suspect and 2 witnesses,14,1,5,2,3
Other,4,"Street 48, near the Highway",General emergency reported,Unknown,Multiple bystanders,3,1,1,2,2
Medical,1,"Street 332, near the Highway",Allergic reaction,None,1 person involved,17,0,0,2,0
Other,3,"Street 68, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,21,1,1,1,1
Fire,5,"Street 108, near the City Center",Small kitchen fire,Explosion risk,5 people evacuated,7,1,2,2,7
Medical,4,"Street 23, near the Industrial Zone",Allergic reaction,None,1 person involved,5,0,1,4,2
Crime,4,"Street 340, near the City Center",Break-in,None,Suspect and 2 witnesses,10,1,4,2,2
Accident,5,"Street 119, near the City Center",General emergency reported,Unknown,Multiple bystanders,1,1,3,4,3
Accident,4,"Street 462, near the City Center",General emergency reported,Unknown,Multiple bystanders,14,0,2,3,2
Medical,2,"Street 32, near the Forest",Allergic reaction,None,1 person involved,10,0,0,3,1
Medical,3,"Street 394, near the City Center",Cardiac arrest,None,1 person involved,6,1,1,3,1
Fire,2,"Street 149, near the Industrial Zone",Building engulfed,Chemical smell,2 people evacuated,13,1,0,1,5
Medical,4,"Street 429, near the Highway",Cardiac arrest,None,1 person involved,20,0,1,4,2
Accident,1,"Street 225, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,20,1,1,2,0
Other,2,"Street 55, near the City Center",General emergency reported,Unknown,Multiple bystanders,11,0,0,1,1
Crime,2,"Street 181, near the Industrial Zone",Armed robbery in progress,None,Suspect and 1 witnesses,15,1,3,1,1
Medical,5,"Street 118, near the Forest",Unconscious person,None,1 person involved,14,1,2,4,3
Crime,3,"Street 100, near the Industrial Zone",Break-in,Aggressive behavior,Suspect and 1 witnesses,17,1,4,1,1
Other,4,"Street 16, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,2,1,1,2,2
Crime,5,"Street 314, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,4,0,5,2,3
Other,3,"Street 140, near the Forest",General emergency reported,Unknown,Multiple bystanders,4,0,1,1,1
Other,2,"Street 431, near the Forest",General emergency reported,Unknown,Multiple bystanders,2,1,0,1,1
Fire,5,"Street 136, near the City Center",Spreading to trees,Chemical smell,4 people evacuated,5,0,2,2,7
Fire,1,"Street 33, near the Residential Area",Small kitchen fire,Chemical smell,2 people evacuated,23,0,0,0,4
Medical,2,"Street 204, near the Residential Area",Allergic reaction,None,1 person involved,5,0,0,3,1
Fire,5,"Street 188, near the Forest",Small kitchen fire,Thick smoke,7 people evacuated,5,0,2,2,7
Other,1,"Street 353, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,3,1,0,0,0
Accident,1,"Street 416, near the Highway",General emergency reported,Unknown,Multiple bystanders,2,0,1,2,0
Accident,2,"Street 290, near the City Center",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,1
Crime,5,"Street 358, near the City Center",Break-in,Aggressive behavior,Suspect and 1 witnesses,22,1,5,2,3
Crime,2,"Street 256, near the Highway",Armed robbery in progress,Aggressive behavior,Suspect and 2 witnesses,8,0,3,1,1
Medical,4,"Street 403, near the Highway",Allergic reaction,None,1 person involved,16,1,1,4,2
Accident,3,"Street 285, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,13,0,2,3,1
Fire,5,"Street 7, near the Industrial Zone",Small kitchen fire,Chemical smell,6 people evacuated,3,0,2,2,7
Medical,3,"Street 134, near the Highway",Allergic reaction,None,1 person involved,9,1,1,3,1
Crime,5,"Street 283, near the Forest",Public disturbance,Aggressive behavior,Suspect and 1 witnesses,20,0,5,2,3
Other,1,"Street 30, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,10,0,0,0,0
Fire,5,"Street 249, near the Forest",Spreading to trees,Thick smoke,3 people evacuated,0,1,2,2,7
Crime,3,"Street 233, near the Highway",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,4,1,4,1,1
Medical,3,"Street 253, near the Industrial Zone",Unconscious person,None,1 person involved,14,1,1,3,1
Fire,1,"Street 482, near the Residential Area",Building engulfed,Thick smoke,5 people evacuated,14,0,0,0,4
Crime,3,"Street 349, near the City Center",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,3,0,4,1,1
Crime,5,"Street 463, near the Forest",Break-in,None,Suspect and 2 witnesses,16,0,5,2,3
Medical,2,"Street 270, near the Forest",Unconscious person,None,1 person involved,14,1,0,3,1
Accident,4,"Street 449, near the Forest",General emergency reported,Unknown,Multiple bystanders,18,1,2,3,2
Other,5,"Street 44, near the Forest",General emergency reported,Unknown,Multiple bystanders,10,0,2,2,3
Fire,2,"Street 330, near the Industrial Zone",Small kitchen fire,Explosion risk,8 people evacuated,14,1,0,1,5
Fire,2,"Street 270, near the Forest",Small kitchen fire,Explosion risk,3 people evacuated,19,1,0,1,5
Other,4,"Street 406, near the City Center",General emergency reported,Unknown,Multiple bystanders,1,1,1,2,2
Crime,1,"Street 352, near the Residential Area",Armed robbery in progress,Weapons sighted,Suspect and 2 witnesses,23,0,3,0,0
Medical,4,"Street 375, near the Forest",Allergic reaction,None,1 person involved,11,1,1,4,2
Accident,4,"Street 161, near the Highway",General emergency reported,Unknown,Multiple bystanders,20,1,2,3,2
Fire,5,"Street 134, near the Forest",Spreading to trees,Thick smoke,7 people evacuated,14,1,2,2,7
Accident,5,"Street 201, near the Residential Area",General emergency reported,Unknown,Multiple bystanders,2,0,3,4,3
Fire,2,"Street 460, near the Industrial Zone",Building engulfed,Thick smoke,3 people evacuated,19,0,0,1,5
Medical,5,"Street 195, near the Residential Area",Allergic reaction,None,1 person involved,5,1,2,4,3
Accident,1,"Street 435, near the City Center",General emergency reported,Unknown,Multiple bystanders,5,0,1,2,0
Medical,2,"Street 79, near the Highway",Cardiac arrest,None,1 person involved,9,0,0,3,1
Accident,4,"Street 8, near the Industrial Zone",General emergency reported,Unknown,Multiple bystanders,23,1,2,3,2
Medical,3,"Street 451, near the Residential Area",Cardiac arrest,None,1 person involved,18,0,1,3,1
Accident,3,"Street 284, near the City Center",General emergency reported,Unknown,Multiple bystanders,22,0,2,3,1
Crime,3,"Street 346, near the City Center",Armed robbery in progress,None,Suspect and 1 witnesses,15,1,4,1,1
Accident,1,"Street 435, near the Forest",General emergency reported,Unknown,Multiple bystanders,12,1,1,2,0
Medical,4,"Street 104, near the City Center",Allergic reaction,None,1 person involved,10,0,1,4,2
Fire,1,"Street 410, near the Highway",Building engulfed,Explosion risk,1 people evacuated,13,0,0,0,4
Medical,3,"Street 9, near the Highway",Allergic reaction,None,1 person involved,15,1,1,3,1
Crime,5,"Street 42, near the Forest",Armed robbery in progress,Aggressive behavior,Suspect and 1 witnesses,20,1,5,2,3
Crime,2,"Street 446, near the City Center",Break-in,None,Suspect and 2 witnesses,20,1,3,1,1
Other,4,"Street 472, near the Highway",General emergency reported,Unknown,Multiple bystanders,17,0,1,2,2
Medical,3,"Street 132, near the Residential Area",Allergic reaction,None,1 person involved,21,1,1,3,1
Medical,4,"Street 280, near the Highway",Allergic reaction,None,1 person involved,22,0,1,4,2
